latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
14.07075,79.14064,331.93,0.79,0.78,2026-07-17,0712,SNPP,SNPP,n,2.0NRT,277.88,5.58,D
14.07788,79.13882,334.86,0.79,0.78,2026-07-17,0712,SNPP,SNPP,n,2.0NRT,277.88,9.84,D
14.07253,79.13901,351.6,0.79,0.78,2026-07-17,0712,SNPP,SNPP,n,2.0NRT,277.97,14.56,D
13.87338,77.54034,343.44,0.36,0.57,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,290.2,3.79,D
13.86944,77.54027,339.09,0.36,0.57,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,290.74,3.46,D
9.49787,78.58649,354.65,0.37,0.58,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,292.19,5.65,D
14.30805,77.44221,347.63,0.36,0.57,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,291.53,4.07,D
14.26584,77.57398,335.87,0.36,0.58,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,290.22,2.6,D
9.44871,78.6729,330.29,0.37,0.58,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,288.27,2.87,D
14.34031,77.21676,333.11,0.35,0.56,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,291.18,3.96,D
14.34069,77.21999,337.68,0.35,0.56,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,291.03,5.26,D
14.30766,77.43884,336.21,0.36,0.57,2026-07-17,0852,SNPP,SNPP,n,2.0NRT,291.58,4.07,D
15.71394,76.64983,337.18,0.33,0.55,2026-07-17,0854,SNPP,SNPP,n,2.0NRT,284.71,2.48,D
23.45962,68.87083,336.65,0.44,0.38,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,296.17,3.22,D
23.45904,68.86655,337.04,0.44,0.38,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,298.63,3.22,D
27.05102,70.78933,347.37,0.39,0.44,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,305,6.5,D
27.05003,70.78942,346.03,0.4,0.44,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,304.77,6.05,D
27.43947,70.62661,339.11,0.39,0.44,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,302.78,3.36,D
27.44399,70.63004,352.02,0.39,0.44,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,306.33,41.69,D
27.44353,70.62605,351.46,0.39,0.44,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,304.66,27.15,D
23.26372,68.74909,337.5,0.43,0.38,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,300.36,3.81,D
23.51279,69.26447,335.29,0.45,0.39,2026-07-17,0856,SNPP,SNPP,n,2.0NRT,300.24,3.39,D
31.44362,75.31084,332.71,0.41,0.61,2026-07-17,0858,SNPP,SNPP,n,2.0NRT,291.66,3.57,D
31.033,75.35883,335.21,0.41,0.6,2026-07-17,0858,SNPP,SNPP,n,2.0NRT,294.22,3.6,D
22.05614,88.12135,318.54,0.47,0.4,2026-07-17,1942,SNPP,SNPP,n,2.0NRT,290.53,3.48,N
22.05552,88.12594,309.49,0.47,0.4,2026-07-17,1942,SNPP,SNPP,n,2.0NRT,291.08,4.07,N
22.05131,88.10178,306.16,0.48,0.4,2026-07-17,1942,SNPP,SNPP,n,2.0NRT,289.89,2.91,N
22.93179,69.69843,310.38,0.45,0.39,2026-07-17,2125,SNPP,SNPP,n,2.0NRT,287.85,1.95,N
9.9381,77.86986,336.36,0.5,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.62,5.85,D
9.24749,77.63526,335,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.12,3.18,D
8.41504,77.55648,336.91,0.46,0.39,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,298.21,3.74,D
8.60271,78.00349,332.04,0.49,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,299.97,3.68,D
8.75135,78.10223,336.47,0.5,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,302,3.56,D
8.7272,77.83305,335.64,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,301.61,3.27,D
8.76945,77.71753,346.75,0.47,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.33,12.57,D
8.85127,78.02077,349.22,0.49,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.6,7.3,D
8.81735,77.38127,330.68,0.46,0.39,2026-07-18,0833,SNPP,SNPP,l,2.0NRT,302.42,2.26,D
9.07585,77.97345,337.24,0.49,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,302.25,3.65,D
9.18129,78.39294,332.93,0.52,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.78,3.52,D
9.10011,77.43537,345.34,0.46,0.39,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.88,4.78,D
9.09949,77.43114,344.2,0.46,0.39,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.91,4.22,D
9.10375,77.43484,343.4,0.46,0.39,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.02,4.78,D
9.10434,77.43622,338.56,0.46,0.39,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.3,2.62,D
9.22678,77.82117,336.25,0.49,0.4,2026-07-18,0833,SNPP,SNPP,l,2.0NRT,306.65,4.04,D
9.33055,77.82093,339.33,0.49,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.29,4.66,D
9.34908,77.92345,339.14,0.49,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.91,2.76,D
9.39126,77.83606,342.73,0.49,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.69,7.39,D
9.52307,78.33055,335.81,0.52,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,299.01,6.77,D
9.49893,77.64961,337.32,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.76,6.46,D
9.50262,77.64908,335.52,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.42,3.39,D
9.50631,77.64854,334.67,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,298.65,3.39,D
9.77024,78.26685,336.76,0.52,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.04,3.17,D
9.79812,78.32645,342.8,0.53,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,301.23,10.67,D
9.80198,78.3259,341.16,0.53,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.07,10.67,D
